Peer_Group,Asset_Class,Sector,Peer_Group_Size,Pct_Leader_or_Emerging,Pct_Early_Entry_or_Building,Pct_Structural_Caution,Pct_New_Detection,Mean_Momentum_Score,Mean_Acceleration_Score,Mean_Trend_Score,Mean_Early_Rotation_Score,Peer_Group_Read
Industrials,Equities,Industrials,1,0.0,0.0,0.0,0.0,35.897783808231566,37.3134328358209,30.0,20.970149253731343,SINGLE-ASSET GROUP
Infrastructure,Equities,Industrials,1,0.0,0.0,0.0,0.0,34.66870194482135,41.7910447761194,30.0,22.98507462686567,SINGLE-ASSET GROUP
Energy Transition Materials,Equities,Materials,2,0.0,0.0,1.0,0.0,17.389190411578475,10.44776119402985,10.0,25.828358208955223,▼ GROUP UNDER STRUCTURAL PRESSURE
Materials,Equities,Materials,1,0.0,0.0,0.0,0.0,37.55088195386703,28.35820895522388,30.0,18.73134328358209,SINGLE-ASSET GROUP
Metals & Mining,Equities,Materials,2,0.0,0.5,0.0,0.5,63.802012663952965,35.07462686567164,85.0,63.761194029850756,▲ BROAD NEW DETECTION
Digital Infrastructure,Equities,Real Estate,1,0.0,0.0,1.0,0.0,26.60560832202623,70.1492537313433,0.0,42.25373134328358,SINGLE-ASSET GROUP
Real Estate,Equities,Real Estate,3,0.0,0.0,0.0,0.0,40.5581938790894,47.263681592039795,30.0,24.00497512437811,● MIXED GROUP
AI & Automation,Equities,Technology,2,0.5,0.5,0.5,0.5,47.925712347354136,55.97014925373135,50.0,59.14925373134329,▼ GROUP UNDER STRUCTURAL PRESSURE
Cloud & Software,Equities,Technology,1,0.0,0.0,0.0,0.0,62.817729534147446,8.955223880597014,70.0,29.49253731343284,SINGLE-ASSET GROUP
Cybersecurity,Equities,Technology,1,0.0,0.0,0.0,0.0,62.546359113523295,11.940298507462686,70.0,29.268656716417908,SINGLE-ASSET GROUP
Semiconductors,Equities,Technology,3,0.3333333333333333,1.0,0.0,0.6666666666666666,60.10063319764812,82.08955223880598,73.33333333333333,89.99502487562188,▲ BROAD NEW DETECTION
Software,Equities,Technology,1,0.0,0.0,0.0,0.0,50.86047037539575,7.462686567164178,70.0,25.089552238805965,SINGLE-ASSET GROUP
Technology,Equities,Technology,1,1.0,1.0,0.0,1.0,74.56354590682949,64.17910447761194,100.0,87.46268656716418,SINGLE-ASSET GROUP
Utilities,Equities,Utilities,1,0.0,0.0,1.0,0.0,28.669154228855724,73.13432835820896,0.0,32.08955223880597,SINGLE-ASSET GROUP
Inflation-Protected Bonds,Fixed Income,Treasuries,1,0.0,0.0,1.0,0.0,41.3783355947535,74.6268656716418,0.0,43.28358208955224,SINGLE-ASSET GROUP
Intermediate Treasuries,Fixed Income,Treasuries,1,0.0,0.0,1.0,0.0,34.11917684305744,68.65671641791045,0.0,36.791044776119406,SINGLE-ASSET GROUP
Long Treasuries,Fixed Income,Treasuries,1,0.0,0.0,1.0,0.0,32.232021709633656,71.64179104477611,0.0,38.13432835820896,SINGLE-ASSET GROUP
Short Treasuries,Fixed Income,Treasuries,1,0.0,0.0,0.0,0.0,49.82926277702397,85.07462686567165,30.0,52.70149253731344,SINGLE-ASSET GROUP
Volatility,Volatility,Equity Volatility,1,0.0,0.0,1.0,0.0,20.007914970601536,95.52238805970148,0.0,35.373134328358205,SINGLE-ASSET GROUP
